datetime_ist,date,time,cwc_rainfall_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,pore_pressure_kpa,pore_pressure_mbar,pressure_change_24h_kpa,tilt_deg,pitch_deg,roll_deg,yaw_deg,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,landslide_risk_score,landslide_risk_level,landslide_event
01-01-2024 13:00,01-01-2024,13:00:00,0,27.21,27.21,27.21,1.832,18.32,0.632,1.983,1.215,0.818,5.174,-0.0209,-0.0117,9.8415,0.053,-0.073,-0.0274,0,LOW,0
01-01-2024 14:00,01-01-2024,14:00:00,0,27.21,27.21,27.21,1.897,18.97,0.697,1.975,1.216,0.82,4.995,-0.0082,-0.002,9.8488,-0.0676,0.1028,0.02,0.0078,LOW,0
01-01-2024 15:00,01-01-2024,15:00:00,0,27.21,27.21,27.21,2.013,20.13,0.813,1.976,1.217,0.821,4.892,0.0002,0.0137,9.7927,0.0469,-0.0565,0.038,0.0159,LOW,0
01-01-2024 16:00,01-01-2024,16:00:00,0,0,27.21,27.21,2.041,20.41,0.841,1.982,1.218,0.822,5.015,0.0015,-0.0064,9.8179,0.0037,-0.2512,-0.0624,0.0654,LOW,0
01-01-2024 17:00,01-01-2024,17:00:00,0,0,27.21,27.21,2.117,21.17,0.917,1.979,1.219,0.824,4.909,-0.0023,0.0087,9.8263,-0.0897,-0.0544,-0.0622,0,LOW,0
01-01-2024 18:00,01-01-2024,18:00:00,0,0,27.21,27.21,2.135,21.35,0.935,1.972,1.22,0.825,4.995,0.0365,0.0194,9.8069,0.011,0.0055,-0.0534,0.0356,LOW,0
01-01-2024 19:00,01-01-2024,19:00:00,0,0,27.21,27.21,2.116,21.16,0.916,1.973,1.221,0.827,4.815,-0.0038,0.0012,9.7853,0.0505,0.1185,-0.0129,0,LOW,0
01-01-2024 20:00,01-01-2024,20:00:00,0,0,27.21,27.21,2.061,20.61,0.861,1.982,1.222,0.828,5.027,-0.023,-0.0079,9.7998,-0.0152,-0.0383,-0.1312,0,LOW,0
01-01-2024 21:00,01-01-2024,21:00:00,0,0,27.21,27.21,2.07,20.7,0.87,1.988,1.224,0.829,4.918,0.0216,0.0283,9.7469,-0.1334,-0.1154,0.0056,0.0047,LOW,0
01-01-2024 22:00,01-01-2024,22:00:00,0,0,27.21,27.21,2.029,20.29,0.829,1.987,1.225,0.831,5.115,-0.017,-0.0274,9.8223,0.0103,0.0207,0.1083,0,LOW,0
01-01-2024 23:00,01-01-2024,23:00:00,0,0,27.21,27.21,2.005,20.05,0.805,1.983,1.226,0.832,4.981,-0.0015,0.0046,9.7659,0.0385,-0.0408,-0.1039,0,LOW,0
02-01-2024 00:00,02-01-2024,00:00:00,0,0,27.21,27.21,2.024,20.24,0.824,1.99,1.227,0.834,4.798,-0.0114,-0.0162,9.7956,-0.0019,0.1049,-0.0417,0.0015,LOW,0
02-01-2024 01:00,02-01-2024,01:00:00,0,0,27.21,27.21,2.028,20.28,0.824,1.981,1.228,0.835,4.98,-0.0121,0.0028,9.8367,-0.144,0.1509,-0.0484,0,LOW,0
02-01-2024 02:00,02-01-2024,02:00:00,0,0,27.21,27.21,2.001,20.01,0.835,1.987,1.229,0.836,5.02,-0.0197,0.0137,9.8049,-0.0177,-0.1734,-0.0304,0,LOW,0
02-01-2024 03:00,02-01-2024,03:00:00,0,0,27.21,27.21,1.955,19.55,0.815,1.984,1.23,0.838,5.071,0.01,0.003,9.8197,-0.0323,-0.0147,0.0287,0,LOW,0
02-01-2024 04:00,02-01-2024,04:00:00,0,0,27.21,27.21,1.957,19.57,0.799,1.975,1.231,0.839,5.096,0.0146,0.0292,9.8641,-0.1011,-0.044,-0.174,0.0155,LOW,0
02-01-2024 05:00,02-01-2024,05:00:00,0,0,27.21,27.21,1.963,19.63,0.867,1.964,1.233,0.841,4.936,0.0079,0.0224,9.8105,0.0735,-0.0799,-0.0692,0,LOW,0
02-01-2024 06:00,02-01-2024,06:00:00,0,0,27.21,27.21,1.998,19.98,0.903,1.974,1.234,0.842,4.943,0.0223,0.0036,9.8233,0.1001,0.044,-0.0781,0,LOW,0
02-01-2024 07:00,02-01-2024,07:00:00,0,0,27.21,27.21,1.932,19.32,0.869,1.973,1.235,0.843,5.032,-0.0118,0.0341,9.8353,-0.0866,0.1377,-0.0613,0,LOW,0
02-01-2024 08:00,02-01-2024,08:00:00,0,0,27.21,27.21,1.933,19.33,0.898,1.968,1.236,0.845,5.073,-0.0046,0.0063,9.7968,0.0713,0.0296,-0.0669,0.0557,LOW,0
02-01-2024 09:00,02-01-2024,09:00:00,0,0,27.21,27.21,1.954,19.54,0.963,1.967,1.237,0.846,5.094,-0.0106,-0.0056,9.7797,0.0156,0.0356,0.0353,0.0114,LOW,0
02-01-2024 10:00,02-01-2024,10:00:00,0,0,0,27.21,1.908,19.08,0.31,1.964,1.238,0.847,5.153,0.007,-0.012,9.8338,-0.0365,-0.1048,-0.0799,0,LOW,0
02-01-2024 11:00,02-01-2024,11:00:00,0,0,0,27.21,1.834,18.34,0.148,1.961,1.239,0.849,4.839,0.0029,0.0078,9.8277,0.0894,-0.0359,0.0834,0.0092,LOW,0
02-01-2024 12:00,02-01-2024,12:00:00,0,0,0,27.21,1.778,17.78,-0.006,1.958,1.24,0.85,5.158,-0.0232,0.004,9.7995,-0.0204,0.0432,0.1164,0.0062,LOW,0
02-01-2024 13:00,02-01-2024,13:00:00,0,0,0,27.21,1.747,17.47,-0.085,1.958,1.242,0.852,5.141,0.0197,0.0048,9.7886,-0.0178,0.144,-0.0376,0,LOW,0
02-01-2024 14:00,02-01-2024,14:00:00,0,0,0,27.21,1.703,17.03,-0.194,1.962,1.243,0.853,5.145,-0.0139,-0.0048,9.8351,-0.0681,0.1254,0.1758,0,LOW,0
02-01-2024 15:00,02-01-2024,15:00:00,0,0,0,27.21,1.68,16.8,-0.333,1.953,1.244,0.854,5.018,-0.0238,0.0053,9.8191,-0.0308,0.0474,-0.1094,0,LOW,0
02-01-2024 16:00,02-01-2024,16:00:00,0,0,0,27.21,1.682,16.82,-0.359,1.961,1.245,0.856,5.076,-0.0197,0.0348,9.8024,0.0099,-0.0856,-0.2073,0.0321,LOW,0
02-01-2024 17:00,02-01-2024,17:00:00,0,0,0,27.21,1.642,16.42,-0.476,1.955,1.246,0.857,5.106,0.0174,0.0045,9.8374,0.0034,-0.0022,0.0006,0,LOW,0
02-01-2024 18:00,02-01-2024,18:00:00,0,0,0,27.21,1.643,16.43,-0.492,1.957,1.247,0.859,5.026,0.0241,0.0177,9.7994,-0.0139,-0.0507,-0.0353,0,LOW,0
02-01-2024 19:00,02-01-2024,19:00:00,0,0,0,27.21,1.61,16.1,-0.506,1.957,1.248,0.86,5.163,-0.0028,0.017,9.7596,-0.0462,-0.0041,0.0024,0.0763,LOW,0
02-01-2024 20:00,02-01-2024,20:00:00,0,0,0,27.21,1.59,15.9,-0.472,1.952,1.249,0.861,4.908,0.0119,-0.0197,9.7983,-0.0115,0.0685,0.0611,0,LOW,0
02-01-2024 21:00,02-01-2024,21:00:00,0,0,0,27.21,1.558,15.58,-0.512,1.959,1.251,0.863,5.138,-0.0144,0.0051,9.7953,-0.0393,-0.0578,0.1118,0.0235,LOW,0
02-01-2024 22:00,02-01-2024,22:00:00,0,0,0,27.21,1.539,15.39,-0.49,1.954,1.252,0.864,5.112,0.0081,-0.0053,9.8004,0.0945,0.0087,-0.0633,0,LOW,0
02-01-2024 23:00,02-01-2024,23:00:00,0,0,0,27.21,1.525,15.25,-0.48,1.962,1.253,0.865,5.236,0.0059,-0.0171,9.7987,-0.0511,-0.0589,-0.0553,0.0103,LOW,0
03-01-2024 00:00,03-01-2024,00:00:00,0,0,0,27.21,1.514,15.14,-0.511,1.966,1.254,0.867,5.287,-0.0191,-0.0298,9.7546,-0.1294,0.0663,0.0425,0.0045,LOW,0
03-01-2024 01:00,03-01-2024,01:00:00,0,0,0,27.21,1.486,14.86,-0.541,1.962,1.255,0.868,5.033,-0.0008,0.0229,9.8319,-0.1105,0.023,-0.0806,0,LOW,0
03-01-2024 02:00,03-01-2024,02:00:00,0,0,0,27.21,1.376,13.76,-0.624,1.955,1.256,0.87,5.242,0.0001,0.0161,9.7925,0.1194,0.0438,0.1213,0.0264,LOW,0
03-01-2024 03:00,03-01-2024,03:00:00,0,0,0,27.21,1.367,13.67,-0.588,1.961,1.257,0.871,5.095,-0.013,-0.0133,9.7614,0.0668,0.0921,0.1572,0,LOW,0
03-01-2024 04:00,03-01-2024,04:00:00,0,0,0,27.21,1.293,12.93,-0.665,1.954,1.258,0.872,5.099,0.0109,-0.0045,9.8252,-0.0645,-0.012,0.1493,0.0597,LOW,0
03-01-2024 05:00,03-01-2024,05:00:00,0,0,0,27.21,1.254,12.54,-0.709,1.953,1.259,0.874,5.108,-0.0178,0.0051,9.7461,-0.0064,-0.0914,0.0601,0.0039,LOW,0
03-01-2024 06:00,03-01-2024,06:00:00,0,0,0,27.21,1.172,11.72,-0.826,1.958,1.261,0.875,4.901,0.012,0.0057,9.796,-0.0721,0.0681,-0.0602,0.0022,LOW,0
03-01-2024 07:00,03-01-2024,07:00:00,0,0,0,27.21,1.193,11.93,-0.739,1.96,1.262,0.876,5.199,0.0258,-0.0009,9.8496,-0.0215,0.0363,0.017,0.0253,LOW,0
03-01-2024 08:00,03-01-2024,08:00:00,0,0,0,27.21,1.182,11.82,-0.751,1.959,1.263,0.878,4.897,0.0076,-0.0088,9.7675,0.1305,-0.0218,-0.1437,0,LOW,0
03-01-2024 09:00,03-01-2024,09:00:00,0,0,0,27.21,1.153,11.53,-0.801,1.955,1.264,0.879,5.126,0.013,0.018,9.8414,0.0909,0.0063,-0.1677,0.0006,LOW,0
03-01-2024 10:00,03-01-2024,10:00:00,0,0,0,27.21,1.167,11.67,-0.741,1.959,1.265,0.88,4.766,0.0127,-0.02,9.8011,-0.001,-0.0437,0.0142,0.0082,LOW,0
03-01-2024 11:00,03-01-2024,11:00:00,0,0,0,27.21,1.16,11.6,-0.674,1.948,1.266,0.882,5.041,0.0131,-0.0169,9.8154,-0.2049,0.0209,-0.0531,0.0094,LOW,0
03-01-2024 12:00,03-01-2024,12:00:00,0,0,0,27.21,1.142,11.42,-0.636,1.949,1.267,0.883,5.067,-0.0057,0.0028,9.8332,0.0123,-0.0482,0.0203,0.0053,LOW,0
03-01-2024 13:00,03-01-2024,13:00:00,0,0,0,27.21,1.131,11.31,-0.616,1.942,1.268,0.885,5.146,0.0066,-0.0008,9.7833,0.0041,0.0005,-0.073,0,LOW,0
03-01-2024 14:00,03-01-2024,14:00:00,0,0,0,27.21,1.101,11.01,-0.602,1.936,1.269,0.886,5.245,0.0059,-0.0102,9.7825,-0.0108,-0.0466,-0.0028,0.0589,LOW,0
03-01-2024 15:00,03-01-2024,15:00:00,0,0,0,27.21,1.051,10.51,-0.63,1.939,1.271,0.887,5.063,-0.0215,-0.0296,9.7825,-0.0771,0.0601,-0.0619,0,LOW,0
03-01-2024 16:00,03-01-2024,16:00:00,0,0,0,27.21,1.056,10.56,-0.626,1.934,1.272,0.889,4.923,-0.0072,0.0087,9.7917,0.09,0.02,-0.0359,0,LOW,0
03-01-2024 17:00,03-01-2024,17:00:00,0,0,0,27.21,1.035,10.35,-0.607,1.941,1.273,0.89,5.02,-0.0121,-0.0181,9.8034,-0.0487,-0.0266,0.0221,0,LOW,0
03-01-2024 18:00,03-01-2024,18:00:00,0,0,0,27.21,0.972,9.72,-0.67,1.945,1.274,0.891,5.104,-0.0083,-0.0078,9.7662,0.0524,0.0089,-0.1108,0.0131,LOW,0
03-01-2024 19:00,03-01-2024,19:00:00,0,0,0,27.21,0.968,9.68,-0.643,1.941,1.275,0.893,5.095,0.0156,0.0122,9.8159,0.0344,-0.1149,-0.0191,0.039,LOW,0
03-01-2024 20:00,03-01-2024,20:00:00,0,0,0,27.21,0.951,9.51,-0.639,1.94,1.276,0.894,4.869,-0.0074,-0.0037,9.829,-0.0285,-0.1105,-0.1088,0.0091,LOW,0
03-01-2024 21:00,03-01-2024,21:00:00,0,0,0,27.21,0.976,9.76,-0.582,1.933,1.277,0.895,5.017,-0.0077,-0.0217,9.7865,0.0754,-0.04,0.03,0.0254,LOW,0
03-01-2024 22:00,03-01-2024,22:00:00,0,0,0,27.21,0.966,9.66,-0.574,1.936,1.278,0.897,5.016,0.0007,-0.0127,9.7837,-0.0744,-0.0621,-0.0719,0,LOW,0
03-01-2024 23:00,03-01-2024,23:00:00,0,0,0,27.21,0.919,9.19,-0.606,1.945,1.279,0.898,5.056,-0.0043,0.0251,9.7992,0.0066,-0.0795,0.0239,0.0095,LOW,0
04-01-2024 00:00,04-01-2024,00:00:00,17.67,17.67,17.67,44.88,1.267,12.67,-0.246,1.938,1.281,0.899,5.154,-0.0134,-0.0045,9.8175,0.1447,-0.117,-0.0261,0.0218,LOW,0
04-01-2024 01:00,04-01-2024,01:00:00,0,17.67,17.67,44.88,1.368,13.68,-0.118,1.939,1.282,0.901,4.989,0.0021,-0.005,9.804,-0.0874,-0.0191,-0.0832,0.006,LOW,0
04-01-2024 02:00,04-01-2024,02:00:00,0,17.67,17.67,44.88,1.434,14.34,0.057,1.941,1.283,0.902,5.212,-0.0002,0.0122,9.8576,-0.0101,-0.0317,0.0004,0,LOW,0
04-01-2024 03:00,04-01-2024,03:00:00,0,17.67,17.67,44.88,1.478,14.78,0.112,1.934,1.284,0.903,5.174,-0.0098,-0.0077,9.8293,0.0273,-0.0773,0.0685,0.03,LOW,0
04-01-2024 04:00,04-01-2024,04:00:00,0,17.67,17.67,44.88,1.525,15.25,0.233,1.928,1.285,0.905,4.836,0.003,0.0393,9.8139,0.0225,-0.0003,-0.1601,0.0281,LOW,0
04-01-2024 05:00,04-01-2024,05:00:00,0,17.67,17.67,44.88,1.622,16.22,0.368,1.917,1.286,0.906,5.038,-0.0064,0.0041,9.7895,0.0281,0.0744,-0.0473,0.0084,LOW,0
04-01-2024 06:00,04-01-2024,06:00:00,0,0,17.67,44.88,1.626,16.26,0.454,1.92,1.287,0.907,5.114,0.0124,0.0087,9.805,-0.0756,-0.0956,0.1193,0,LOW,0
04-01-2024 07:00,04-01-2024,07:00:00,0,0,17.67,44.88,1.645,16.45,0.452,1.918,1.288,0.909,5.271,-0.0276,-0.0168,9.8059,0.0037,0.0939,-0.0295,0,LOW,0
04-01-2024 08:00,04-01-2024,08:00:00,0,0,17.67,44.88,1.643,16.43,0.461,1.914,1.289,0.91,4.947,-0.0082,-0.0063,9.8734,-0.045,-0.1412,0.098,0,LOW,0
04-01-2024 09:00,04-01-2024,09:00:00,0,0,17.67,44.88,1.614,16.14,0.461,1.926,1.291,0.911,4.885,0.0019,0.0071,9.8002,0.1513,0.0015,0.1292,0,LOW,0
04-01-2024 10:00,04-01-2024,10:00:00,0,0,17.67,17.67,1.651,16.51,0.483,1.915,1.292,0.913,5.12,-0.0051,0.0026,9.8453,-0.0066,0.0872,0.0029,0.0159,LOW,0
04-01-2024 11:00,04-01-2024,11:00:00,0,0,17.67,17.67,1.632,16.32,0.473,1.923,1.293,0.914,4.974,-0.0215,-0.0069,9.7844,-0.1481,0.0682,-0.0483,0.0404,LOW,0
04-01-2024 12:00,04-01-2024,12:00:00,0,0,17.67,17.67,1.644,16.44,0.502,1.91,1.294,0.915,5.087,0.0291,0.0085,9.8201,0.0289,0.0254,-0.0842,0.0152,LOW,0
04-01-2024 13:00,04-01-2024,13:00:00,0,0,17.67,17.67,1.663,16.63,0.532,1.907,1.295,0.917,5.009,0.0001,0.0145,9.8383,0.0969,0.0427,0.0699,0,LOW,0
04-01-2024 14:00,04-01-2024,14:00:00,0,0,17.67,17.67,1.654,16.54,0.553,1.897,1.296,0.918,5.209,-0.0186,0.0283,9.8228,0.0142,0.0061,0.0022,0.0193,LOW,0
04-01-2024 15:00,04-01-2024,15:00:00,0,0,17.67,17.67,1.618,16.18,0.567,1.892,1.297,0.919,5.188,0.0116,-0.0132,9.8204,-0.0535,-0.0116,-0.0317,0.0032,LOW,0
04-01-2024 16:00,04-01-2024,16:00:00,0,0,17.67,17.67,1.593,15.93,0.537,1.889,1.298,0.921,5.028,-0.0057,0.0374,9.8107,-0.0513,-0.0513,0.0808,0,LOW,0
04-01-2024 17:00,04-01-2024,17:00:00,0,0,17.67,17.67,1.603,16.03,0.568,1.884,1.299,0.922,5.283,0.0159,0.0265,9.814,0.0153,-0.0414,0.0698,0,LOW,0
04-01-2024 18:00,04-01-2024,18:00:00,0,0,17.67,17.67,1.608,16.08,0.636,1.886,1.3,0.923,5.11,-0.006,0.0291,9.8048,0.0884,0.0337,0.1613,0,LOW,0
04-01-2024 19:00,04-01-2024,19:00:00,0,0,17.67,17.67,1.633,16.33,0.666,1.891,1.301,0.925,5.143,0.0124,-0.0048,9.7867,0.0712,-0.0425,-0.0223,0,LOW,0
04-01-2024 20:00,04-01-2024,20:00:00,0,0,17.67,17.67,1.653,16.53,0.702,1.89,1.303,0.926,5.025,0.0004,0.0072,9.8243,0.0069,-0.0257,0.0467,0,LOW,0
04-01-2024 21:00,04-01-2024,21:00:00,0,0,17.67,17.67,1.621,16.21,0.645,1.892,1.304,0.927,5.018,0.0003,0.0113,9.8194,-0.0772,0.0561,-0.0579,0.0164,LOW,0
04-01-2024 22:00,04-01-2024,22:00:00,0,0,17.67,17.67,1.649,16.49,0.684,1.902,1.305,0.929,5.291,-0.0098,-0.0092,9.8216,-0.0049,-0.045,-0.0574,0.0072,LOW,0
04-01-2024 23:00,04-01-2024,23:00:00,0,0,17.67,17.67,1.615,16.15,0.696,1.898,1.306,0.93,5.122,-0.0065,-0.0189,9.7772,0.013,-0.0071,0.0689,0,LOW,0
05-01-2024 00:00,05-01-2024,00:00:00,0,0,0,17.67,1.601,16.01,0.333,1.903,1.307,0.931,5.137,0.0051,-0.0098,9.7982,-0.0337,-0.0176,-0.0286,0.0177,LOW,0
05-01-2024 01:00,05-01-2024,01:00:00,0,0,0,17.67,1.633,16.33,0.265,1.918,1.308,0.932,5.049,-0.004,0.0088,9.807,-0.1358,0.0036,0.0387,0,LOW,0
05-01-2024 02:00,05-01-2024,02:00:00,0,0,0,17.67,1.611,16.11,0.177,1.929,1.309,0.934,5.144,-0.0143,-0.0049,9.8176,0.0417,-0.1114,-0.0502,0,LOW,0
05-01-2024 03:00,05-01-2024,03:00:00,0,0,0,17.67,1.537,15.37,0.059,1.939,1.31,0.935,5.115,-0.0114,0.0333,9.7713,0.0835,-0.0109,0.0403,0.0187,LOW,0
05-01-2024 04:00,05-01-2024,04:00:00,0,0,0,17.67,1.502,15.02,-0.024,1.943,1.311,0.936,5.112,0.0078,0.0074,9.7617,0.16,0.0324,0.0885,0,LOW,0
05-01-2024 05:00,05-01-2024,05:00:00,0,0,0,17.67,1.529,15.29,-0.093,1.95,1.312,0.938,5.313,0.0105,0.0091,9.8344,-0.0563,0.0019,-0.0005,0,LOW,0
05-01-2024 06:00,05-01-2024,06:00:00,0,0,0,17.67,1.496,14.96,-0.13,1.947,1.314,0.939,5.132,0.0145,-0.0096,9.8007,-0.0757,-0.0283,-0.0428,0,LOW,0
05-01-2024 07:00,05-01-2024,07:00:00,0,0,0,17.67,1.503,15.03,-0.143,1.947,1.315,0.94,4.981,-0.0051,0.0053,9.8417,0.0038,-0.0108,0.0388,0,LOW,0
05-01-2024 08:00,05-01-2024,08:00:00,0,0,0,17.67,1.452,14.52,-0.192,1.945,1.316,0.941,5.178,0.0264,-0.0024,9.8158,0.0441,-0.0791,-0.0491,0,LOW,0
05-01-2024 09:00,05-01-2024,09:00:00,0,0,0,17.67,1.417,14.17,-0.197,1.941,1.317,0.943,5.075,0.0148,-0.0142,9.827,-0.0332,0.127,0.0092,0,LOW,0
05-01-2024 10:00,05-01-2024,10:00:00,0,0,0,17.67,1.386,13.86,-0.265,1.942,1.318,0.944,4.999,-0.0006,0.0009,9.8107,-0.0211,0.1684,0.1054,0.0217,LOW,0
05-01-2024 11:00,05-01-2024,11:00:00,0,0,0,17.67,1.41,14.1,-0.223,1.939,1.319,0.945,5.036,0.0006,0.0271,9.8192,0.1592,0.0171,-0.03,0,LOW,0
05-01-2024 12:00,05-01-2024,12:00:00,0,0,0,17.67,1.376,13.76,-0.268,1.94,1.32,0.947,5.254,0.0097,-0.014,9.8364,-0.1371,0.0376,0.1396,0,LOW,0
05-01-2024 13:00,05-01-2024,13:00:00,0,0,0,17.67,1.305,13.05,-0.358,1.931,1.321,0.948,5.001,-0.0117,-0.0172,9.7852,-0.0456,-0.0498,-0.1045,0.0185,LOW,0
05-01-2024 14:00,05-01-2024,14:00:00,0,0,0,17.67,1.341,13.41,-0.314,1.928,1.322,0.949,5.008,-0.0215,-0.0279,9.7771,-0.0923,0.1451,-0.0225,0.0351,LOW,0
05-01-2024 15:00,05-01-2024,15:00:00,0,0,0,17.67,1.322,13.22,-0.296,1.936,1.323,0.95,5.134,0.0024,-0.039,9.8103,-0.0202,-0.0892,-0.1061,0.0328,LOW,0
05-01-2024 16:00,05-01-2024,16:00:00,0,0,0,17.67,1.315,13.15,-0.278,1.937,1.324,0.952,5.088,0.0017,0.0195,9.7735,-0.1313,0.0201,-0.1343,0.0211,LOW,0
05-01-2024 17:00,05-01-2024,17:00:00,0,0,0,17.67,1.251,12.51,-0.352,1.945,1.325,0.953,5.011,-0.012,0.0146,9.7683,0.1784,0.0882,-0.0118,0,LOW,0
05-01-2024 18:00,05-01-2024,18:00:00,0,0,0,17.67,1.235,12.35,-0.373,1.942,1.327,0.954,5.24,-0.01,0.0281,9.7895,-0.0372,0.1294,-0.0105,0.0191,LOW,0
05-01-2024 19:00,05-01-2024,19:00:00,0,0,0,17.67,1.213,12.13,-0.42,1.94,1.328,0.955,5.08,0.014,0.0012,9.8337,0.0562,-0.0562,0.1079,0,LOW,0
05-01-2024 20:00,05-01-2024,20:00:00,0,0,0,17.67,1.167,11.67,-0.486,1.941,1.329,0.957,4.977,0.0017,-0.0091,9.8206,0.1575,0.0278,-0.0275,0.0232,LOW,0
05-01-2024 21:00,05-01-2024,21:00:00,0,0,0,17.67,1.163,11.63,-0.458,1.94,1.33,0.958,5.169,-0.0243,-0.0064,9.8683,0.0534,-0.0668,0.0685,0,LOW,0
05-01-2024 22:00,05-01-2024,22:00:00,0,0,0,17.67,1.099,10.99,-0.55,1.932,1.331,0.959,5.232,-0.0385,-0.0027,9.8277,-0.0046,-0.0633,0.0502,0.0087,LOW,0
05-01-2024 23:00,05-01-2024,23:00:00,0,0,0,17.67,1.055,10.55,-0.56,1.935,1.332,0.96,5.192,-0.0338,0.0094,9.8465,0.0127,-0.0431,-0.0013,0.0284,LOW,0
06-01-2024 00:00,06-01-2024,00:00:00,0,0,0,17.67,1.066,10.66,-0.534,1.929,1.333,0.962,5.215,0.0233,0.021,9.8056,-0.0545,0.135,0.0273,0.0337,LOW,0
06-01-2024 01:00,06-01-2024,01:00:00,0,0,0,17.67,1.029,10.29,-0.603,1.929,1.334,0.963,5.215,-0.0098,0.0259,9.8062,-0.032,0.044,-0.0921,0,LOW,0
06-01-2024 02:00,06-01-2024,02:00:00,0,0,0,17.67,0.998,9.98,-0.613,1.916,1.335,0.964,5.107,-0.0039,0.0057,9.8539,0.171,-0.0536,0.068,0.0597,LOW,0
06-01-2024 03:00,06-01-2024,03:00:00,0,0,0,17.67,0.982,9.82,-0.555,1.913,1.336,0.965,5.084,0.0361,-0.0081,9.8017,0.0479,0.059,0.024,0.0103,LOW,0
06-01-2024 04:00,06-01-2024,04:00:00,0,0,0,17.67,0.956,9.56,-0.546,1.912,1.337,0.967,5.06,-0.0144,0.0075,9.818,-0.0455,-0.0563,-0.2234,0,LOW,0
06-01-2024 05:00,06-01-2024,05:00:00,0,0,0,17.67,0.956,9.56,-0.573,1.915,1.338,0.968,5.141,0.0134,-0.0126,9.8507,0.1617,-0.028,-0.0977,0.003,LOW,0
06-01-2024 06:00,06-01-2024,06:00:00,0,0,0,17.67,0.943,9.43,-0.554,1.908,1.339,0.969,4.947,-0.0039,-0.01,9.8184,-0.0158,0.1439,0.0102,0.0105,LOW,0
06-01-2024 07:00,06-01-2024,07:00:00,0,0,0,17.67,0.888,8.88,-0.614,1.902,1.34,0.97,5.006,0.013,0.0115,9.8428,0.0953,0.1836,0.0246,0,LOW,0
06-01-2024 08:00,06-01-2024,08:00:00,8.27,8.27,8.27,25.94,1.046,10.46,-0.406,1.913,1.342,0.971,5.305,0.0074,-0.0135,9.7614,0.0564,-0.0713,0.0814,0,LOW,0
